,,Shanghai Containerized Freight Index,,USD/TEU
the period (YYYY-MM-DD),Comprehensive Index,Europe (Base port),Mediterranean (Base port),Persian Gulf and Red Sea (Dubai)
1/5/2018,816.58,888,738,433
1/12/2018,839.72,897,759,450
1/19/2018,840.36,891,761,572
1/26/2018,858.6,907,772,631
2/2/2018,883.59,912,797,611
2/9/2018,871.76,914,791,573
2/14/2018,867.16,905,791,579
2/23/2018,854.19,916,797,571
3/2/2018,772.45,827,721,465
3/9/2018,729.49,791,701,427
3/16/2018,675.46,741,665,384
3/23/2018,646.59,704,650,355
3/30/2018,658.68,633,615,319
4/4/2018,654.17,617,616,311
4/13/2018,659.74,585,600,327
4/20/2018,674.58,584,601,460
4/27/2018,760.67,774,694,436
5/4/2018,776.88,788,756,431
5/11/2018,778.83,811,783,460
5/18/2018,753.83,793,795,459
5/25/2018,764.34,825,848,484
6/1/2018,829.09,876,895,557
6/8/2018,806.04,870,904,547
6/15/2018,777.7,862,915,544
6/22/2018,751.13,834,905,508
6/29/2018,821.18,885,913,482
7/6/2018,817.4,881,903,470
7/13/2018,825.57,882,887,434
7/20/2018,793.76,863,869,371
7/27/2018,863.59,926,893,371
8/3/2018,890.52,935,881,364
8/10/2018,893.88,948,895,373
8/17/2018,891.83,928,909,357
8/24/2018,901.66,959,915,392
8/31/2018,939.48,933,908,409
9/7/2018,921.36,885,870,391
9/14/2018,909.74,821,852,391
9/21/2018,890.21,766,804,365
9/28/2018,870.58,735,767,354
10/12/2018,904.51,731,751,366
10/19/2018,926.25,727,751,422
10/26/2018,956.63,761,778,495
11/2/2018,976.52,752,769,525
11/9/2018,961.88,753,767,528
11/16/2018,951.57,735,757,518
11/23/2018,903.9,738,755,513
11/30/2018,890.41,747,783,518
12/7/2018,861.55,774,788,523
12/14/2018,848.65,832,821,530
12/21/2018,833.85,872,839,597
12/28/2018,910.81,996,967,668
1/4/2019,940.86,996,997,789
1/11/2019,940.08,979,980,814
1/18/2019,968.07,970,978,778
1/25/2019,945.44,960,957,736
2/1/2019,934.44,960,962,721
2/15/2019,888.29,906,920,703
2/22/2019,847.75,831,857,690
3/1/2019,803.71,796,810,639
3/8/2019,766.92,754,776,612
3/15/2019,742.1,714,748,590
3/22/2019,727.88,684,732,575
3/29/2019,793.49,651,725,689
4/4/2019,792.25,658,711,730
4/12/2019,782.46,640,715,734
4/19/2019,761.74,638,717,702
4/26/2019,778,717,726,682
5/10/2019,756.88,768,726,620
5/17/2019,726.23,723,696,611
5/24/2019,723.93,743,710,657
5/31/2019,782.12,780,740,775
6/6/2019,783.05,779,745,840
6/14/2019,779.12,745,741,820
6/21/2019,764.46,716,731,794
6/28/2019,829.7,701,726,784
7/5/2019,810.91,688,705,782
7/12/2019,817.41,676,697,773
7/19/2019,790.77,672,695,738
7/26/2019,788.93,754,718,720
8/2/2019,830.94,806,850,713
8/9/2019,822.09,810,974,683
8/16/2019,803.82,812,1017,684
8/23/2019,774.62,793,969,685
8/30/2019,819.65,757,895,657
9/6/2019,795.05,710,877,633
9/12/2019,765.79,674,826,602
9/20/2019,734.09,639,797,562
9/27/2019,722.9,593,742,519
10/11/2019,715.97,581,722,512
10/18/2019,746.63,580,715,642
10/25/2019,774.27,594,710,786
11/1/2019,847.11,707,735,830
11/8/2019,837.99,729,721,773
11/15/2019,797.78,708,706,755
11/22/2019,765.47,702,689,772
11/29/2019,819.63,766,730,835
12/6/2019,850.27,800,771,930
12/13/2019,880.44,893,1083,1017
12/20/2019,904.83,944,1096,1158
12/27/2019,958.57,1027,1172,1172
1/3/2020,1022.72,1124,1185,1218
1/10/2020,1002.58,1058,1179,1175
1/17/2020,990.68,1010,1180,1123
1/23/2020,981.19,969,1179,1126
2/14/2020,910.58,850,1031,1089
2/21/2020,887.72,834,977,1027
2/28/2020,875.76,804,928,985
3/6/2020,871.16,830,915,958
3/13/2020,911.85,827,903,1009
3/20/2020,898.05,797,892,1015
3/27/2020,889.8,764,880,1004
4/3/2020,890.37,750,863,896
4/10/2020,867.82,734,859,813
4/17/2020,829.29,725,841,708
4/24/2020,818.16,753,844,650
4/30/2020,852.27,739,840,637
5/8/2020,855.07,744,853,640
5/15/2020,854.08,831,875,656
5/22/2020,847.63,827,879,618
5/29/2020,920.38,863,924,581
6/5/2020,925.5,880,931,543
6/12/2020,1015.33,875,954,470
6/19/2020,988.82,886,949,430
6/24/2020,1001.33,890,968,458
7/3/2020,1055.13,907,970,595
7/10/2020,1033.58,920,951,638
7/17/2020,1035.61,907,940,675
7/24/2020,1022.03,896,937,703
7/31/2020,1103.47,901,935,751
8/7/2020,1107.39,910,940,783
8/14/2020,1167.91,916,967,780
8/21/2020,1183.7,937,996,796
8/28/2020,1263.26,1029,1060,837
9/4/2020,1320.8,1042,1082,909
9/11/2020,1355.04,1054,1115,960
9/18/2020,1409.57,1082,1188,1079
9/25/2020,1421.75,1079,1193,1081
9/30/2020,1443.54,1168,1211,1073
10/9/2020,1438.22,1149,1202,1065
10/16/2020,1448.87,1084,1239,1055
10/23/2020,1469.03,1100,1261,1062
10/30/2020,1529.99,1140,1329,1085
11/6/2020,1664.56,1246,1365,1222
11/13/2020,1857.33,1508,1674,1267
11/20/2020,1938.32,1644,1797,1374
11/27/2020,2048.27,2091,2219,1412
12/4/2020,2129.26,2374,2384,1402
12/11/2020,2311.71,2948,3073,1422
12/18/2020,2411.82,3124,3223,1517
12/25/2020,2641.87,3797,3709,1737
12/31/2020,2783.03,4091,4286,1903
1/8/2021,2870.34,4452,4298,1995
1/15/2021,2885,4413,4296,1982
1/22/2021,2868.95,4394,4296,1934
1/29/2021,2861.69,4276,4337,1895
2/5/2021,2884.61,4324,4332,1873
2/10/2021,2825.75,4109,4282,1859
2/19/2021,2875.93,4281,4252,1856
2/26/2021,2775.29,4047,4147,1692
3/5/2021,2721.94,3966,4078,1531
3/12/2021,2637.53,3712,4020,1428
3/19/2021,2583.87,3665,3901,1373
3/26/2021,2570.68,3742,3900,1355
4/2/2021,2585.42,3651,3962,1504
4/9/2021,2652.12,3964,4026,1624
4/16/2021,2833.42,4187,4239,1932
4/23/2021,2979.76,4325,4446,2160
4/30/2021,3100.74,4630,4705,2299
5/7/2021,3095.16,4678,4803,2441
5/14/2021,3343.34,5438,5320,2550
5/21/2021,3432.5,5579,5526,2646
5/28/2021,3495.76,5816,5811,2831
6/4/2021,3613.07,5887,5952,2859
6/11/2021,3703.93,6355,6272,2937
6/18/2021,3748.36,6351,6392,3002
6/25/2021,3785.4,6479,6514,2997
7/2/2021,3905.14,6786,6655,3116
7/9/2021,3932.35,6741,6746,3262
7/16/2021,4054.42,7023,6893,3373
7/23/2021,4100,7127,6961,3481
