iso_year,week,global_total_events,global_disruption_events,extreme_crisis_events,high_velocity_media_events,black_swan_candidate_events,global_avg_impact,global_worst_event_impact,global_avg_sentiment,global_total_media_mentions,global_peak_event_media,maritime_conflict_events,infrastructure_attack_events,trade_restriction_events,protest_events,middle_east_disruption,asia_disruption,europe_disruption,russia_ukraine_disruption,egypt_disruption,yemen_disruption,unique_sources
2018,1,1472667,428017,130616,218,23,0.37396643090345116,-10,-2.220816979803498,8890512,810,21190,2289,94104,19194,44959,7733,6521,16525,5178,3215,447836
2018,2,1839672,501432,146603,245,33,0.56631408550768048,-10,-1.9671700884891949,11070095,1180,22374,2674,111365,19339,36202,9490,7895,22687,5479,2988,555780
2018,3,1945383,530159,160491,283,25,0.54665179041864764,-10,-1.9456202185915468,11624467,1070,25258,3037,112691,20796,30938,10294,8486,23080,5298,2826,569161
2018,4,1964751,527932,157314,287,23,0.58164543657872858,-10,-1.8492130164283318,11704774,854,25675,3168,113725,21328,24935,9130,9574,24938,4537,2781,568662
2018,5,1872867,507981,154738,315,28,0.54977144642032361,-10,-1.9624962674125193,11366976,722,26230,3465,110930,17497,27902,9456,8531,27423,4154,3544,559647
2018,6,1935638,530535,167041,247,9,0.513290755687769,-10,-1.9398356254054179,11673845,716,27520,3284,114032,18012,40372,9582,8168,26649,4956,2444,573751
2018,7,1910197,520605,162253,187,23,0.52833575979733982,-10,-1.9704214696908104,11358169,1850,33841,2138,113364,16039,36802,7960,9230,31489,4584,1971,559540
2018,8,1942470,539574,166064,234,19,0.48667106657207915,-10,-2.0099751992009254,11636026,1660,34021,2634,119538,20090,30166,8165,9705,31105,4302,2273,575130
2018,9,1917019,523433,158193,252,22,0.53527610866257347,-10,-1.866993628893971,11485008,900,31012,1945,115643,19759,24475,9387,8873,29815,3992,2951,570200
2018,10,2020674,525249,151178,299,22,0.6720648240114302,-10,-1.6785815649878666,11956931,600,26460,1668,115991,24357,23176,10953,8914,27977,4187,2071,593623
2018,11,2032604,544408,155026,277,29,0.58678691015144147,-10,-1.8689234749256245,12000563,534,25545,1801,118608,24978,23755,9090,9102,49264,3906,1605,591424
2018,12,1986061,542478,157705,226,27,0.55363190938390738,-10,-1.8670217824804787,11843511,976,28383,2442,118813,25339,26209,11163,11668,36625,4357,2348,589085
2018,13,1932283,545783,151049,289,27,0.4654312426090621,-10,-1.9594075596705451,11366624,660,27860,3542,139717,23310,31962,10541,12679,57652,4111,4233,557245
2018,14,1916233,529850,158058,418,34,0.52841503534018852,-10,-2.0226442523823316,11368712,1480,30429,2233,116991,22419,31038,11421,10407,35142,3662,2765,555715
2018,15,2136845,629315,205721,173,20,0.29195397672816559,-10,-2.208383776841949,12217566,580,27370,14563,126062,21032,41553,11826,10238,59011,3732,2871,597240
2018,16,2018430,550994,171107,158,9,0.52426649491559052,-10,-1.8557651858108466,11855499,560,27749,7294,116395,22763,30347,10933,10380,33280,3398,2734,583566
2018,17,1917697,503021,154930,177,19,0.63596628866038551,-10,-1.7530982062088223,11275779,680,26601,3084,111806,19475,33025,10355,8786,22327,3167,4228,556051
2018,18,1821627,482298,145999,198,26,0.62850471419748755,-10,-1.7558360629002114,10701965,840,23607,3184,105490,19970,35968,10697,7660,20382,3038,2581,532484
2018,19,1987923,519136,164365,210,29,0.71179456274812369,-10,-1.6682956427013087,11468921,760,25570,7755,108733,18690,66808,11276,9594,21005,3315,3062,565177
2018,20,2013374,543261,163349,208,13,0.59302412673689064,-10,-1.8449934572986411,11664833,1260,30289,2958,111538,26036,65212,10920,8573,24029,4658,1875,576766
2018,21,1885201,497298,145739,195,12,0.64285444515170886,-10,-1.7830281221291402,11112326,670,27240,3396,112407,17885,34319,13810,9138,28007,3043,2653,555063
2018,22,1801678,473828,146296,228,13,0.647813270295277,-10,-1.7854784961693793,10690674,690,29304,2717,101381,16564,31882,11686,8876,32522,2890,1870,534234
2018,23,1843967,465738,134048,198,19,0.77867695029249429,-10,-1.677995533909729,10810324,3312,23150,1668,104231,17030,26818,12732,9854,24087,2543,2135,540636
2018,24,1828403,460165,131312,181,14,0.8202479223581336,-10,-1.6002238026714348,10707626,980,22313,1690,100531,16470,23501,12670,9118,17873,2066,4669,532365
2018,25,1844970,483183,135272,199,9,0.73448941606512008,-10,-1.7991479494316942,10989196,870,21658,2292,107575,19177,25838,10492,10583,18471,2272,3706,538590
2018,26,1849829,481404,139557,207,23,0.74012344978243838,-10,-1.743210838519784,10958235,530,25123,2113,108890,19129,23337,9071,8914,19750,2863,2979,533013
2018,27,1697928,449956,132485,168,15,0.66976263983236006,-10,-1.8278149038052329,10149870,640,23051,1503,104291,16718,27214,10887,9338,20892,2882,2118,504592
2018,28,1783758,457930,131340,185,17,0.74792171337623536,-10,-1.7011385304025906,10430691,740,21340,2387,102426,17326,26980,10427,11953,27044,2739,2175,513987
2018,29,1709568,460865,134109,258,39,0.61947159564847554,-10,-1.9434800926950839,10068765,812,24260,1884,101564,17287,26179,8923,8295,39395,2558,2010,484890
2018,30,1681275,460915,144055,229,20,0.53956281936366079,-10,-2.0378755308934124,9887349,540,25955,2341,100785,16867,35489,10467,7307,25278,3658,2594,479380
2018,31,1652203,457528,137505,413,45,0.52610841940569963,-10,-2.0799111043785676,9875203,982,23821,1411,101171,17739,27493,11265,6551,26428,3606,2889,475336
2018,32,1648923,472941,142794,306,28,0.4130863231691046,-10,-2.2129680828354905,9759886,1220,24125,3107,113378,17460,30984,10126,7848,27958,3745,3467,475025
2018,33,1615482,431407,127165,236,34,0.61679746354338816,-10,-2.02694453684389,9554156,34810,21115,1441,97813,14013,23106,11302,6899,22329,3514,2655,464121
