date,region,ISO3,ais_portcalls_container,ais_portcalls_general_cargo,ais_portcalls_dry_bulk,ais_portcalls_roro,ais_portcalls_tanker,ais_import_tanker,ais_export_tanker,ais_import_dry_bulk,ais_export_dry_bulk,ais_import_container,ais_export_container,ais_import_general_cargo,ais_export_general_cargo,ais_import_roro,ais_export_roro,value_import_total,value_export_total,volume_export_total,volume_import_total,trade_value,trade_volume,ObjectId
2019-01-04,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-11,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-18,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-25,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-01,China,CHN,4668.0,1665.0,4658.0,302.0,4308.0,38084835.6570972,13911068.4275674,152632748.860305,56386428.6944456,59469200.8954293,73556296.0613747,2807483.10232832,2579927.56788435,156697.503170822,192011.115263793,85.7385384864636,77.8458379460002,76.6938941370357,83.5580036836974,80.5564552979232,80.1259489103665,2907.0
2019-02-08,China,CHN,4668.0,1665.0,4658.0,302.0,4308.0,38084835.6570972,13911068.4275674,152632748.860305,56386428.6944456,59469200.8954293,73556296.0613747,2807483.10232832,2579927.56788435,156697.503170822,192011.115263793,85.7385384864636,77.8458379460002,76.6938941370357,83.5580036836974,80.5564552979232,80.1259489103665,2907.0
2019-02-15,China,CHN,4668.0,1665.0,4658.0,302.0,4308.0,38084835.6570972,13911068.4275674,152632748.860305,56386428.6944456,59469200.8954293,73556296.0613747,2807483.10232832,2579927.56788435,156697.503170822,192011.115263793,85.7385384864636,77.8458379460002,76.6938941370357,83.5580036836974,80.5564552979232,80.1259489103665,2907.0
2019-02-22,China,CHN,4668.0,1665.0,4658.0,302.0,4308.0,38084835.6570972,13911068.4275674,152632748.860305,56386428.6944456,59469200.8954293,73556296.0613747,2807483.10232832,2579927.56788435,156697.503170822,192011.115263793,85.7385384864636,77.8458379460002,76.6938941370357,83.5580036836974,80.5564552979232,80.1259489103665,2907.0
2019-03-01,China,CHN,6388.0,2316.0,5608.0,452.0,4772.0,43369002.8307744,16048787.8400295,171439426.278022,63519708.0313772,74904210.5892973,96724335.9313282,3661006.1932822,3292372.15739442,237832.573640392,305087.796240362,104.381826222776,100.640893417082,99.9167397860227,103.260289184574,101.925654865145,101.588514485298,2914.0
2019-03-08,China,CHN,6388.0,2316.0,5608.0,452.0,4772.0,43369002.8307744,16048787.8400295,171439426.278022,63519708.0313772,74904210.5892973,96724335.9313282,3661006.1932822,3292372.15739442,237832.573640392,305087.796240362,104.381826222776,100.640893417082,99.9167397860227,103.260289184574,101.925654865145,101.588514485298,2914.0
2019-03-15,China,CHN,6388.0,2316.0,5608.0,452.0,4772.0,43369002.8307744,16048787.8400295,171439426.278022,63519708.0313772,74904210.5892973,96724335.9313282,3661006.1932822,3292372.15739442,237832.573640392,305087.796240362,104.381826222776,100.640893417082,99.9167397860227,103.260289184574,101.925654865145,101.588514485298,2914.0
2019-03-22,China,CHN,6388.0,2316.0,5608.0,452.0,4772.0,43369002.8307744,16048787.8400295,171439426.278022,63519708.0313772,74904210.5892973,96724335.9313282,3661006.1932822,3292372.15739442,237832.573640392,305087.796240362,104.381826222776,100.640893417082,99.9167397860227,103.260289184574,101.925654865145,101.588514485298,2914.0
2019-03-29,China,CHN,6388.0,2316.0,5608.0,452.0,4772.0,43369002.8307744,16048787.8400295,171439426.278022,63519708.0313772,74904210.5892973,96724335.9313282,3661006.1932822,3292372.15739442,237832.573640392,305087.796240362,104.381826222776,100.640893417082,99.9167397860227,103.260289184574,101.925654865145,101.588514485298,2914.0
2019-04-05,China,CHN,6388.0,2316.0,5608.0,452.0,4772.0,43369002.8307744,16048787.8400295,171439426.278022,63519708.0313772,74904210.5892973,96724335.9313282,3661006.1932822,3292372.15739442,237832.573640392,305087.796240362,104.381826222776,100.640893417082,99.9167397860227,103.260289184574,101.925654865145,101.588514485298,2914.0
