date,bab_el-mandeb_strait_n_container,dover_strait_n_container,gibraltar_strait_n_container,malacca_strait_n_container,suez_canal_n_container,taiwan_strait_n_container,bab_el-mandeb_strait_n_total,dover_strait_n_total,gibraltar_strait_n_total,malacca_strait_n_total,suez_canal_n_total,taiwan_strait_n_total,bab_el-mandeb_strait_capacity_container,dover_strait_capacity_container,gibraltar_strait_capacity_container,malacca_strait_capacity_container,suez_canal_capacity_container,taiwan_strait_capacity_container,bab_el-mandeb_strait_capacity,dover_strait_capacity,gibraltar_strait_capacity,malacca_strait_capacity,suez_canal_capacity,taiwan_strait_capacity
2019-01-04 00:00:00+00:00,16.0,33.25,26.5,41.0,17.25,88.25,53.5,137.25,111.5,164.75,53.75,245.25,945563.8231044182,928804.4459276316,992271.8156931786,1230875.6141647624,1038168.3452803702,1740771.2417142275,2717457.1957737026,2752756.0283671226,3190164.0866552177,7497330.5740117775,2501299.298008655,4980122.117591285
2019-01-11 00:00:00+00:00,17.857142857142858,34.285714285714285,26.857142857142858,44.714285714285715,16.142857142857142,83.71428571428571,54.142857142857146,158.71428571428572,104.28571428571429,167.71428571428572,49.857142857142854,243.28571428571428,1091519.1716872312,738862.1362086824,801932.7219212941,1430437.8667909584,976953.3624719464,1556575.977975203,2607012.1028226544,2692077.0358459842,2760713.6300530443,6396812.8314741,2368875.079228207,4971495.424892819
2019-01-18 00:00:00+00:00,15.285714285714286,34.857142857142854,22.285714285714285,41.857142857142854,16.0,85.57142857142857,48.857142857142854,162.0,96.42857142857143,171.85714285714286,44.285714285714285,242.0,857791.686873867,779707.1991291491,738879.4499278116,1301111.1787687938,927367.2792683154,1621051.0298087671,2061422.9533837342,2712142.0765978144,2530557.5456965826,6896673.458454931,2020180.325509217,4740677.889245184
2019-01-25 00:00:00+00:00,15.714285714285714,35.285714285714285,27.571428571428573,44.0,16.714285714285715,86.42857142857143,45.42857142857143,164.14285714285714,104.42857142857143,171.85714285714286,52.857142857142854,249.14285714285714,913083.4830473044,870115.2928761822,863079.7021063453,1314430.2142735359,953169.4271218909,1657949.7928139127,1903339.1041584655,2686524.90555069,2463859.5799502656,6261797.126175636,2349660.172324353,5275555.7706772685
2019-02-01 00:00:00+00:00,18.857142857142858,35.142857142857146,25.571428571428573,41.42857142857143,16.857142857142858,81.57142857142857,53.42857142857143,158.42857142857142,98.42857142857143,170.28571428571428,48.42857142857143,245.42857142857142,1082493.7766422718,884281.4994017035,894749.0844603501,1290983.5240005571,987656.3035169451,1537588.8788697298,2479132.7153812973,3019555.9320214954,3047171.05240772,6645635.7394976,2123471.9428496403,5238054.774554706
2019-02-08 00:00:00+00:00,18.285714285714285,36.57142857142857,27.0,40.42857142857143,18.714285714285715,71.28571428571429,50.857142857142854,154.28571428571428,109.0,167.14285714285714,52.0,217.85714285714286,1069503.8873259276,839859.5912643776,865628.1090223145,1224282.3154457398,1110865.8778450168,1401198.0090094872,2461572.8728434755,2806572.2172853043,2740924.3214390418,6700281.525586462,2764654.4295237814,4637079.879840928
2019-02-15 00:00:00+00:00,17.571428571428573,38.42857142857143,26.714285714285715,46.0,17.0,63.57142857142857,53.714285714285715,174.28571428571428,106.57142857142857,181.28571428571428,50.142857142857146,206.42857142857142,1069642.1696541593,966108.6785572448,994352.8422067772,1419647.543936507,1022487.0700301478,1367015.2667130332,2574336.6086277887,3099824.376711345,2899543.3935629097,6941794.920350917,2358119.9349451656,4444404.529186608
2019-02-22 00:00:00+00:00,17.142857142857142,37.285714285714285,28.142857142857142,44.285714285714285,17.285714285714285,74.0,53.857142857142854,176.28571428571428,107.28571428571429,172.28571428571428,50.142857142857146,230.0,1059554.4423392604,889786.6803733706,975562.1038784889,1367221.031944183,1053476.555404462,1233005.5225100243,2387777.3547860957,3102322.9642133703,2933176.6385703683,6612850.460226557,2335710.667327971,4574823.5522835385
2019-03-01 00:00:00+00:00,17.428571428571427,36.42857142857143,25.142857142857142,40.0,17.285714285714285,79.0,50.0,169.42857142857142,108.85714285714286,166.71428571428572,49.42857142857143,233.57142857142858,1063091.1714231428,876080.6164701682,858203.2354305362,1099566.082224724,1024828.7009300407,1571662.8225011043,2390996.67225509,2983444.658399783,3018125.1849257797,6220016.981822239,2318115.487348876,4834359.324512514
2019-03-08 00:00:00+00:00,16.0,34.142857142857146,26.428571428571427,41.285714285714285,16.714285714285715,81.85714285714286,47.285714285714285,161.85714285714286,107.71428571428571,169.14285714285714,50.57142857142857,235.0,917151.2026687906,912296.8867960918,941069.316667532,1223768.2564854657,1035871.9839605788,1576558.21148356,2230030.511484567,3096745.2014731998,2858994.506090147,6712682.207526849,2489012.50394522,5005176.366492932
