Feature,Coefficient,Abs_Coefficient
price_lag_1w,4736.587598655191,4736.587598655191
price_lag_1w_roll_max_4w,3050.576329563483,3050.576329563483
price_lag_1w_roll_min_4w,-2827.0455337123863,2827.0455337123863
price_lag_1w_roll_mean_4w,-2808.6656110194017,2808.6656110194017
price_lag_2w,1032.8879629801675,1032.8879629801675
price_lag_3w,-834.7005085989235,834.7005085989235
price_lag_1w_roll_std_4w,-449.91474926036665,449.91474926036665
choke_malacca_strait_n_container_lag_1w_lag_1w,-394.663157551143,394.663157551143
price_lag_8w,226.95327245208787,226.95327245208787
price_lag_1w_roll_max_8w,210.0015131407259,210.0015131407259
choke_malacca_strait_capacity_container_lag_2w,203.3371745603128,203.3371745603128
choke_malacca_strait_capacity_container_lag_1w_lag_1w,203.33717456027708,203.33717456027708
price_lag_6w,-158.5526276210699,158.5526276210699
price_lag_1w_pct_change_4w,-62.59504080328815,62.59504080328815
price_lag_1w_roll_min_8w,-56.336615008570526,56.336615008570526
choke_gibraltar_strait_capacity_container_lag_1w,37.57628847752286,37.57628847752286
sh_portcalls_lag_1w,-33.84043235157226,33.84043235157226
price_lag_1w_cv_4w,30.68643536446897,30.68643536446897
price_lag_1w_pct_change_1w,30.333702764373772,30.333702764373772
choke_taiwan_strait_capacity_container_lag_2w_lag_2w,-6.733058965367218,6.733058965367218
