week_start,global_total_events,global_disruption_events,extreme_crisis_events,high_velocity_media_events,black_swan_candidate_events,global_avg_impact,global_worst_event_impact,global_avg_sentiment,global_total_media_mentions,global_peak_event_media,maritime_conflict_events,infrastructure_attack_events,trade_restriction_events,protest_events,middle_east_disruption,asia_disruption,europe_disruption,russia_ukraine_disruption,egypt_disruption,yemen_disruption,unique_sources
2018-01-05,251442,70842,19044,53,8,0.5331283805281577,-10,-2.197483911934847,1510540,736,2919,403,17003,2689,6053,1243,1116,3109,736,549,74902
2018-01-12,296571,81076,22254,27,5,0.5767333960501875,-10,-2.007298243868629,1758585,340,3463,339,18105,3245,4922,1479,1282,3708,603,385,87655
2018-01-19,312641,84236,25340,48,5,0.5825486740382736,-10,-1.90089880944347,1870024,1070,4132,388,18214,2915,4060,1637,1478,3860,644,412,92107
2018-01-26,304329,80164,22848,30,7,0.6345458488594465,-10,-1.8063263787164443,1811800,460,3754,357,17934,2667,3079,1306,1292,4149,543,297,89488
2018-02-02,300174,81431,24080,97,5,0.5602020827919802,-10,-1.9748384623838249,1842762,486,4003,591,18286,2638,3916,1498,1465,4247,561,383,90463
2018-02-09,292230,79074,23865,50,3,0.5646360743250177,-10,-1.9196738474047936,1770810,466,3659,296,18175,2658,3868,1353,1076,3860,870,288,86440
2018-02-14,310241,82057,24397,34,7,0.6197599270240041,-10,-1.809172933701744,1855042,370,4604,288,18783,2372,5162,1463,1234,4186,684,268,92249
2018-02-23,302288,83619,24623,31,1,0.5162374953686552,-10,-2.0573467812399246,1779693,317,5010,317,19107,2970,3433,1386,1798,4615,568,201,88057
2018-03-02,303113,84027,26002,54,2,0.4669608363877496,-10,-1.9475089821472624,1824615,554,5212,363,18660,2905,2956,1555,1521,5368,535,227,91012
2018-03-09,323391,81730,22444,52,3,0.7827533852209867,-10,-1.655173533101719,1887739,354,4038,258,18235,3829,3328,1936,1386,3621,616,278,92942
2018-03-16,326562,89261,25720,43,6,0.5385037971582548,-10,-2.0242363277564905,1944876,534,3894,260,19636,3823,3445,1380,1734,8890,588,217,96287
2018-03-23,302841,82704,23290,35,5,0.5944720166688122,-10,-1.85608737379386,1804329,680,4493,298,18684,3563,3545,2198,1264,5509,455,347,90045
2018-03-30,266398,77836,22828,47,2,0.3332274762853939,-10,-2.059487818020999,1561502,490,4713,456,19496,3164,5563,1364,1278,8588,504,380,77045
2018-04-04,330174,88168,25854,46,5,0.6194227891959999,-10,-1.976364986267957,1922175,497,5425,285,19402,3491,4513,2062,1469,6202,509,472,94196
2018-04-13,320479,90678,28446,28,2,0.4054537625282393,-10,-2.1927101019297472,1829264,312,4246,1260,19184,2957,4966,1609,1698,7840,452,276,87855
2018-04-20,295607,79873,24159,18,0,0.5424935810045098,-10,-1.806303295345084,1733615,500,4700,761,17615,3441,4023,1884,1433,4383,436,282,85603
2018-04-27,300268,76037,22880,16,5,0.7327837132161937,-10,-1.5956151887894556,1749848,310,3690,335,17433,2901,4328,1730,1521,3232,329,400,87776
2018-05-04,290797,76155,21502,36,5,0.6919803161655737,-10,-1.7609104427394917,1718710,760,3816,322,17684,2645,4246,1979,1392,3695,456,345,86740
2018-05-11,317232,83624,26625,29,6,0.6696408306854293,-10,-1.7127900182782263,1821605,413,4406,1547,18021,3023,11739,1698,1454,3238,469,367,88963
2018-05-18,313652,82054,24888,44,1,0.6503602718936902,-10,-1.772064411152244,1834818,480,5374,346,17726,3307,7165,1584,1246,4530,707,193,91341
2018-05-25,297695,79812,23025,36,3,0.625873125178454,-10,-1.8629219631743208,1746903,404,4797,676,18579,2459,4135,2350,1939,5638,395,353,87219
2018-06-01,284985,73958,20868,35,3,0.7306473345872047,-10,-1.6965360698011271,1674570,620,4141,271,16695,2597,3881,1649,1571,4467,351,206,84453
2018-06-08,287779,73090,21018,42,10,0.7500999030506049,-10,-1.704664415679764,1687586,3312,3619,200,16830,2752,4267,1977,1655,4062,356,282,82526
2018-06-15,272345,70764,20537,28,2,0.7250990471644417,-10,-1.695898764328185,1601126,518,3587,233,15778,2400,2910,1989,1203,3283,315,687,79443
2018-06-22,298365,76507,21275,50,0,0.7774987012551738,-10,-1.7626636753233225,1789045,650,3568,276,17614,2640,3466,1478,1785,3115,313,456,85745
2018-06-29,289186,75775,22478,37,10,0.7102498400677765,-10,-1.8071916529320569,1704411,488,5313,214,17130,2772,3179,1334,1382,3087,427,295,83097
2018-07-06,268369,71217,19982,19,3,0.6806508948500013,-10,-1.8299367875170465,1584064,352,3357,140,17487,2367,3840,2461,1411,3265,311,310,79424
2018-07-13,287365,75128,19560,24,1,0.730686168065589,-10,-1.7828127423051223,1679781,530,3021,262,17932,3058,3636,1614,1729,5382,476,313,83736
2018-07-20,270728,72782,20284,43,9,0.6179648570679255,-10,-1.8785502349277363,1587810,370,3456,268,16799,2477,3730,1566,1586,6052,323,310,76041
2018-07-27,261034,70911,21884,51,4,0.570790937509577,-10,-1.997496775384412,1525937,540,3931,275,16042,2541,4540,1603,1055,3933,447,414,73649
2018-08-03,253426,70917,20864,36,5,0.491017460787215,-10,-2.1249735856902583,1513596,495,3734,194,15784,2526,3836,2343,1149,4373,476,582,73545
2018-08-10,250189,72270,21892,43,4,0.3901914152900405,-10,-2.2632651514592528,1477548,440,3785,595,17547,2591,4418,1621,1223,4854,423,940,71710
2018-08-17,253296,67106,19163,29,6,0.6367159370854653,-10,-2.0084444577356804,1512734,34810,3298,207,15303,2184,2910,1888,1172,3835,419,321,72633
2018-08-24,258843,69393,19026,35,1,0.6343200318339687,-10,-2.0087321229741533,1511907,566,3280,205,16955,2086,3067,1989,1133,4396,395,467,73742
2018-08-31,277441,73333,20776,43,2,0.6872005219127667,-10,-2.0075519179054044,1610190,975,3123,285,16913,2537,3158,2007,2052,5221,407,265,76986
2018-09-07,287354,75455,22175,34,4,0.6421706327387126,-10,-2.05961758884221,1651509,312,3700,250,16511,2727,4225,1713,1316,5916,363,406,79702
2018-09-14,274505,69788,19515,38,8,0.7475302817799314,-10,-1.9745974043623504,1611602,630,2977,338,16131,2399,3581,1615,1444,5074,390,418,78818
2018-09-21,275962,73901,21702,35,7,0.6140968684094189,-10,-1.885545515988706,1615458,480,3821,303,17065,2172,4150,2706,1270,5262,217,261,78884
2018-09-28,280000,74112,21382,37,2,0.6591289285714288,-10,-1.7322992208834789,1636766,840,3163,207,15724,2640,4524,1983,2170,3826,289,250,79601
2018-10-12,272932,70968,20163,26,1,0.6844829481336012,-10,-1.803088439154124,1571227,444,2931,184,16525,2423,3374,1704,1374,3554,475,247,77872
2018-10-19,296348,78901,23922,39,2,0.6018032853267105,-10,-1.9629483666299703,1695060,720,3581,286,17365,2419,3535,1553,1018,3763,487,353,80872
2018-10-26,281309,72511,20744,35,7,0.698501647654359,-10,-1.824370018060038,1635616,660,3211,311,16149,2749,3126,1671,1177,3620,291,255,80799
2018-11-02,283984,77292,23371,43,1,0.5699095723702745,-10,-2.0365252947245165,1637971,780,4303,227,17226,2911,4690,1839,1169,3578,984,473,78808
2018-11-09,281716,75204,23193,41,5,0.5935388601955881,-10,-1.8051522973980567,1634326,384,4587,173,17178,2832,3026,1621,1870,4854,372,434,80590
2018-11-16,275031,72556,20493,18,6,0.6711683901275505,-10,-1.8774713491009132,1611463,370,3100,277,16610,2625,3161,1526,1114,3536,375,347,79643
2018-11-23,237965,65774,20863,23,3,0.5165536948710948,-10,-1.8680798848059408,1444456,576,3618,261,13642,2324,2746,2964,1154,3629,250,262,70807
2018-11-30,298861,77844,21373,30,5,0.7069979020347243,-10,-1.8042827208722216,1701792,528,3517,349,19885,2969,3580,1966,1479,10762,408,499,81966
2018-12-07,265477,71322,19373,24,4,0.6413372909894273,-10,-1.9475474389225056,1543181,800,3135,233,17157,2420,3678,3044,988,5138,288,403,76181
2018-12-14,264746,75499,21064,18,2,0.4789953389286333,-10,-2.0208161174299386,1555047,360,4000,166,17587,2700,3997,2640,1220,4087,321,586,76899
2018-12-21,255112,71531,19286,18,3,0.6804866098027536,-10,-2.1070316033978447,1484265,480,2979,155,17077,2749,3132,2812,1215,4144,241,226,72738
2018-12-28,201878,56872,17062,12,1,0.5328541636739199,-10,-2.1144829714417432,1155348,230,3047,228,12851,1881,3037,1489,891,3562,750,136,57657
2019-01-04,212939,58829,16576,8,0,0.5585327253344852,-10,-2.1492586233510687,1217955,486,2867,177,14123,1937,2905,2190,1034,3049,452,310,61885
2019-01-11,251724,68095,18385,13,1,0.6412789404268167,-10,-2.069539283990213,1440865,648,3214,210,15918,2895,3342,2132,1450,3645,616,253,73331
2019-01-18,264444,68781,19188,19,3,0.6848871594742177,-10,-1.9101303359909492,1525846,840,3106,395,16751,2597,2987,2112,1187,4013,353,204,75456
2019-01-25,265646,70890,18921,8,1,0.6807277354072712,-10,-1.9085931923041823,1518341,320,3278,236,17146,2898,3104,1906,1057,4643,382,174,75603
2019-02-01,261557,67998,17808,20,0,0.767711435748231,-10,-1.8613126318932376,1515244,370,2867,207,16012,2515,2848,1723,1125,4182,333,180,75440
2019-02-15,279818,75418,22028,11,1,0.6342572672236951,-10,-2.123476160009049,1597748,336,3362,403,15818,2919,3821,1819,1375,3877,342,230,78394
2019-02-22,275158,74994,20687,11,2,0.6120857834407871,-10,-1.919688168726944,1556453,320,3323,216,17708,2756,2838,2001,1148,3609,424,160,77426
2019-03-01,278990,74514,20917,12,4,0.6613562639119385,-10,-1.8475976255364015,1567209,378,3549,293,16959,2782,2758,2114,1134,3717,331,120,78379
2019-03-08,250800,68848,18028,8,2,0.5859944178628389,-10,-1.9561452318846513,1425183,432,3080,197,16675,3433,3760,1727,1273,2806,793,151,71868
2019-03-15,281385,84994,26589,16,1,0.2502958579881654,-10,-2.406427565635907,1637848,860,6511,638,17851,4300,3940,2036,1291,3943,437,203,81492
2019-03-22,267646,73466,20081,25,2,0.5768029411984485,-10,-2.009502577266231,1542802,1010,3852,174,17413,3028,4060,2019,1362,3865,336,126,76433
2019-03-29,273768,70707,18495,17,3,0.7547792291283133,-10,-1.7920824912821032,1577695,240,3157,264,16314,3051,3268,1765,1152,3807,428,193,77384
2019-04-04,279321,72128,19758,18,3,0.7198305891787588,-10,-1.781190920053502,1627199,580,3307,216,16478,2515,2842,1663,1223,3518,455,232,81453
2019-04-12,273394,75149,19445,17,1,0.5927876684017421,-10,-2.1561413060909738,1551963,300,3203,154,19519,2879,2448,1355,990,3447,467,94,77092
2019-04-19,217258,58767,17159,16,3,0.534124405085198,-10,-1.970557734819522,1240832,338,3325,183,13510,2127,2150,1037,754,3527,331,233,62097
2019-04-26,250628,65311,18363,19,3,0.7086782696128897,-10,-1.8510304474724184,1449789,240,3193,314,15695,2329,2157,1740,942,3668,290,186,71759
2019-05-10,252225,67282,19189,20,4,0.6586643565416316,-10,-1.93466876481867,1448605,280,3307,693,15653,2393,3577,2399,1151,3075,359,141,72141
2019-05-17,250414,67740,19071,35,3,0.5854285303537344,-10,-1.9348832988713436,1457691,460,3004,278,16807,2324,4361,2104,1168,3167,329,381,72334
2019-05-24,254955,66465,18191,19,0,0.733950438118249,-10,-1.8079610393730168,1481772,460,2810,358,16158,2229,3311,2201,1026,2900,302,289,73775
2019-05-31,253262,66885,18465,15,0,0.6583249757168473,-10,-1.9075169978517343,1440800,368,3220,279,15718,2241,3739,2313,1458,3432,342,140,71358
2019-06-06,265821,67394,20085,22,5,0.7374448875178693,-10,-1.7465287585189162,1507839,258,3463,224,15086,2190,2541,2119,2210,3646,441,152,74016
2019-06-14,257681,68601,19792,8,1,0.6561109170644629,-10,-1.9520565997019217,1488899,480,3090,523,14748,2920,5733,2149,971,3067,301,357,72590
2019-06-21,256588,71605,21031,17,1,0.4964678647008618,-10,-2.0862389601839944,1492636,360,4435,478,16124,3322,7907,1964,1199,4391,457,355,72249
2019-06-28,269472,69006,19292,30,2,0.7217273037643978,-10,-1.8161619696456828,1528889,550,3544,196,15696,2408,3582,1981,1288,3819,297,163,73617
2019-07-05,217617,56932,15824,7,0,0.6897852649379412,-10,-1.7968130419092807,1289620,270,2647,217,13372,2248,3099,1765,972,3195,356,119,63721
2019-07-12,241100,63428,16973,8,0,0.6925184260407552,-10,-2.037222368245896,1395814,200,2689,255,15216,2172,3696,1914,990,3642,400,171,69249
2019-07-19,241376,67314,18766,18,2,0.543436092686423,-10,-2.1444422485681933,1396576,1440,3271,221,15796,2236,5205,1562,1374,3603,456,156,69405
2019-07-26,225131,59443,16935,21,0,0.6654965331296002,-10,-1.9168629235250223,1314655,264,2914,385,13615,2023,3110,1584,800,3178,306,132,65720
2019-08-02,233736,64077,18838,14,2,0.5504530752644009,-10,-2.12368923650981,1328132,330,3379,514,14490,2229,2829,2020,1031,3572,231,372,66091
2019-08-09,231536,63921,19377,2,1,0.512912030958468,-10,-2.15351016344637,1327344,170,4558,268,14344,2594,2649,2014,824,2703,387,376,65698
