region,ISO3,date,ais_portcalls_container,ais_portcalls_general_cargo,ais_portcalls_dry_bulk,ais_portcalls_roro,ais_portcalls_tanker,ais_import_tanker,ais_export_tanker,ais_import_dry_bulk,ais_export_dry_bulk,ais_import_container,ais_export_container,ais_import_general_cargo,ais_export_general_cargo,ais_import_roro,ais_export_roro,value_import_total,value_export_total,volume_export_total,volume_import_total,trade_value,trade_volume,ObjectId
China,CHN,2022/12/01,6402,2368,6090,416,5798,53175823.8418197,21918374.3321725,194546309.002494,65486366.2785424,71104523.9509927,105367057.073811,3615837.83356046,3284733.52055112,219612.195017425,410193.592241213,128.269099491832,125.701799561178,109.504741699611,104.271187797275,126.583496225576,106.887964748443,2801
China,CHN,2023/01/01,6325,2173,5958,359,5510,47007635.2275919,17676151.1503278,193588099.60167,58485243.7464292,81073946.9169724,110891454.7965,3495671.57280061,3204369.31772794,159913.871835988,392120.610920078,137.165742063193,130.14472317861,113.22150614837,112.718827433665,132.555975894858,112.970166791017,2803
China,CHN,2023/02/01,5753,2099,5371,349,5061,42192023.9688931,15102963.7247554,173186829.64486,55539273.4238574,63966303.866073,84925691.0050905,3115074.83722691,2911221.65348884,137800.64037591,364042.199233368,109.713812276037,100.268235733233,88.2568900374094,92.1079847626587,103.512162643241,90.1824374000341,2805
China,CHN,2023/03/01,7117,2595,6207,429,5584,51384087.588375,17506855.298902,190816403.428728,67448467.7150551,82923457.6267851,115036620.211755,4097657.26138304,3522739.88800476,244147.403584613,377426.176059894,136.120103933515,132.83321252242,118.008302110028,116.07853046564,133.962040969303,117.043416287834,2807
China,CHN,2023/04/01,6901,2550,6260,435,5300,50614706.3463863,15935668.2430168,195408372.932935,67705422.4410235,83241329.8569828,115555039.23837,3799747.63586543,3536530.67694117,207900.026890931,463961.496470295,136.309562989289,133.148002528678,118.340558213412,116.271369947854,134.233788135233,117.305964080633,2809
China,CHN,2023/05/01,6796,2517,6207,426,5194,49676360.2853812,16242964.7740708,194363078.737347,64266735.8393441,86749567.2160509,120037037.765917,3812222.24975934,3533930.65945693,199634.7660781,400661.11648044,135.602642396182,135.393122954297,122.257771786751,119.670676034847,135.465078938415,120.964223910799,2811
China,CHN,2023/06/01,7059,2571,5892,440,5482,54803580.3060364,17288305.1308457,186392966.334948,62245682.3524345,87020945.9473927,122284742.38867,3998578.32735249,3475536.08476897,208232.89410558,376216.402326936,135.066566785065,136.463438496644,124.292068226394,120.541276344762,135.983706029866,122.416672285578,2813
China,CHN,2023/07/01,7034,2449,5950,422,5332,44987304.6062717,17122534.784359,189657414.004103,63945058.5207481,84779094.5357701,122028194.215485,3547164.89641358,3561052.94342338,200009.921827309,386036.956647864,130.639453328021,136.455574289238,124.231460380583,115.960955043352,134.458123819968,120.096207711968,2815
China,CHN,2023/08/01,6679,2479,6180,435,5593,51295488.3844417,18706451.4835743,203150878.136437,61332534.4127965,86087422.4279225,122322822.296915,3901674.75738417,3379345.46870859,200452.933996148,380331.789313017,134.788557923496,136.014261694389,124.42349889202,120.107669430925,135.593314023479,122.265584161472,2817
China,CHN,2023/09/01,6925,2463,6097,430,5657,53020088.6347517,17958223.0447238,192586738.719425,62553293.6261705,83400687.2430388,120786919.223367,3877188.72790191,3396944.84251618,201002.530280731,407316.921092385,132.319533520194,134.594034604566,122.988197566602,116.933356553631,133.812894857193,119.960777060116,2819
