date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019/03/04 00:00:00+00,2019,3,4,port2027,Shanghai (Yangshan),China,CHN,14,0,0,0,1,14,15,552264.683203898,0,0,0,0,552264.683203898,552264.683203898,508976.295466447,0,0,0,0,508976.295466447,508976.295466447,3501601
2019/03/05 00:00:00+00,2019,3,5,port2027,Shanghai (Yangshan),China,CHN,5,0,0,0,1,5,6,63496.7496184568,0,0,0,37701.5712946777,63496.7496184568,101198.320913135,172198.692873117,0,0,0,0,172198.692873117,172198.692873117,3501602
2019/03/06 00:00:00+00,2019,3,6,port2027,Shanghai (Yangshan),China,CHN,13,1,0,0,0,14,14,570885.70041941,0,0,0,0,570885.70041941,570885.70041941,378889.729203629,0,0,0,0,378889.729203629,378889.729203629,3501603
2019/03/07 00:00:00+00,2019,3,7,port2027,Shanghai (Yangshan),China,CHN,14,1,0,0,2,15,17,479111.687276515,0,0,0,3023.77615525489,479111.687276515,482135.46343177,544555.685314305,0,0,0,3749.08852025983,544555.685314305,548304.773834565,3501604
2019/03/08 00:00:00+00,2019,3,8,port2027,Shanghai (Yangshan),China,CHN,10,0,1,0,1,11,12,134807.978804065,0,0,0,0,134807.978804065,134807.978804065,324403.212399355,0,0,0,14615.8392106676,324403.212399355,339019.051610023,3501605
2019/03/09 00:00:00+00,2019,3,9,port2027,Shanghai (Yangshan),China,CHN,14,0,1,0,1,15,16,235042.218392927,0,0,0,41074.3492003507,235042.218392927,276116.567593277,761803.394819627,0,0,0,0,761803.394819627,761803.394819627,3501606
2019/03/10 00:00:00+00,2019,3,10,port2027,Shanghai (Yangshan),China,CHN,13,0,0,0,0,13,13,391228.695962374,0,0,0,0,391228.695962374,391228.695962374,464006.270203215,0,0,0,0,464006.270203215,464006.270203215,3501607
2019/03/11 00:00:00+00,2019,3,11,port2027,Shanghai (Yangshan),China,CHN,9,0,1,0,0,10,10,282476.770177307,0,0,0,0,282476.770177307,282476.770177307,445761.897133128,0,6006.7268180726,0,0,451768.623951201,451768.623951201,3501608
2019/03/12 00:00:00+00,2019,3,12,port2027,Shanghai (Yangshan),China,CHN,13,0,0,0,2,13,15,390545.719651538,0,0,0,0,390545.719651538,390545.719651538,356463.460301772,0,0,0,173407.030296563,356463.460301772,529870.490598335,3501609
2019/03/13 00:00:00+00,2019,3,13,port2027,Shanghai (Yangshan),China,CHN,10,1,0,0,0,11,11,75461.8206557898,0,0,0,0,75461.8206557898,75461.8206557898,418347.03945014,0,0,0,0,418347.03945014,418347.03945014,3501610
2019/03/14 00:00:00+00,2019,3,14,port2027,Shanghai (Yangshan),China,CHN,19,1,0,0,1,20,21,903856.161642087,0,0,0,6994.60235959026,903856.161642087,910850.764001677,951508.211732836,0,0,0,0,951508.211732836,951508.211732836,3501611
2019/03/15 00:00:00+00,2019,3,15,port2027,Shanghai (Yangshan),China,CHN,11,0,0,0,0,11,11,569247.792050261,0,0,0,0,569247.792050261,569247.792050261,354774.681246671,0,0,0,0,354774.681246671,354774.681246671,3501612
2019/03/16 00:00:00+00,2019,3,16,port2027,Shanghai (Yangshan),China,CHN,12,0,1,0,0,13,13,341956.646883205,0,0,0,0,341956.646883205,341956.646883205,706707.547127098,0,0,0,0,706707.547127098,706707.547127098,3501613
2019/03/17 00:00:00+00,2019,3,17,port2027,Shanghai (Yangshan),China,CHN,11,0,1,0,1,12,13,63496.7496184568,0,0,0,44094.38966064,63496.7496184568,107591.139279097,789233.157666337,0,0,0,0,789233.157666337,789233.157666337,3501614
2019/03/18 00:00:00+00,2019,3,18,port2027,Shanghai (Yangshan),China,CHN,11,0,0,0,1,11,12,503291.387283339,0,0,0,10800.2141067052,503291.387283339,514091.601390044,356749.630532036,0,0,0,1315.45140021938,356749.630532036,358065.081932255,3501615
2019/03/19 00:00:00+00,2019,3,19,port2027,Shanghai (Yangshan),China,CHN,13,1,1,0,0,15,15,610527.758478371,0,321.376435526603,0,0,610849.134913898,610849.134913898,619357.842451882,0,1550.92576148691,0,0,620908.768213369,620908.768213369,3501616
2019/03/20 00:00:00+00,2019,3,20,port2027,Shanghai (Yangshan),China,CHN,12,0,0,0,1,12,13,465929.352540881,0,0,0,0,465929.352540881,465929.352540881,415069.322573867,0,0,0,14615.8392106676,415069.322573867,429685.161784535,3501617
2019/03/21 00:00:00+00,2019,3,21,port2027,Shanghai (Yangshan),China,CHN,11,0,0,0,0,11,11,554502.443126035,0,0,0,0,554502.443126035,554502.443126035,256504.434567477,0,0,0,0,256504.434567477,256504.434567477,3501618
2019/03/22 00:00:00+00,2019,3,22,port2027,Shanghai (Yangshan),China,CHN,9,0,2,0,2,11,13,9036.33539224778,0,0,0,86097.5848748443,9036.33539224778,95133.9202670921,424532.194066714,0,0,0,0,424532.194066714,424532.194066714,3501619
2019/03/23 00:00:00+00,2019,3,23,port2027,Shanghai (Yangshan),China,CHN,9,0,0,0,0,9,9,606815.031099539,0,0,0,0,606815.031099539,606815.031099539,239561.903807884,0,0,0,0,239561.903807884,239561.903807884,3501620
2019/03/24 00:00:00+00,2019,3,24,port2027,Shanghai (Yangshan),China,CHN,13,0,0,0,1,13,14,196759.9249287,0,0,0,76790.6250015,196759.9249287,273550.5499302,646620.306070791,0,0,0,0,646620.306070791,646620.306070791,3501621
2019/03/25 00:00:00+00,2019,3,25,port2027,Shanghai (Yangshan),China,CHN,11,0,1,0,0,12,12,297319.849215945,0,0,0,0,297319.849215945,297319.849215945,306427.92770644,0,6006.7268180726,0,0,312434.654524512,312434.654524512,3501622
2019/03/26 00:00:00+00,2019,3,26,port2027,Shanghai (Yangshan),China,CHN,13,1,0,0,1,14,15,1279922.7624371,0,0,0,2123.36069695272,1279922.7624371,1282046.12313405,440446.749982689,0,0,0,0,440446.749982689,440446.749982689,3501623
2019/03/27 00:00:00+00,2019,3,27,port2027,Shanghai (Yangshan),China,CHN,13,0,0,0,2,13,15,612958.209433849,0,0,0,3023.77615525489,612958.209433849,615981.985589104,376763.151389329,0,0,0,4937.65951951684,376763.151389329,381700.810908845,3501624
2019/03/28 00:00:00+00,2019,3,28,port2027,Shanghai (Yangshan),China,CHN,15,0,1,0,1,16,17,582017.416322996,0,0,0,0,582017.416322996,582017.416322996,842687.249353268,0,0,0,1758.65253488586,842687.249353268,844445.901888154,3501625
2019/03/29 00:00:00+00,2019,3,29,port2027,Shanghai (Yangshan),China,CHN,8,0,1,0,1,9,10,474246.311921796,0,0,0,0,474246.311921796,474246.311921796,309254.64933752,0,0,0,70523.4844144791,309254.64933752,379778.133751999,3501626
2019/03/30 00:00:00+00,2019,3,30,port2027,Shanghai (Yangshan),China,CHN,14,1,1,0,1,16,17,525378.147777276,758.535971763718,0,0,3023.77615525489,526136.683749039,529160.459904294,578459.044617652,0,0,0,3749.08852025983,578459.044617652,582208.133137912,3501627
2019/03/31 00:00:00+00,2019,3,31,port2027,Shanghai (Yangshan),China,CHN,12,1,0,0,1,13,14,579578.597342545,0,0,0,96616.4052950629,579578.597342545,676195.002637608,424775.590418012,0,0,0,0,424775.590418012,424775.590418012,3501628
2019/04/01 00:00:00+00,2019,4,1,port2027,Shanghai (Yangshan),China,CHN,12,0,0,0,0,12,12,401509.010170911,0,0,0,0,401509.010170911,401509.010170911,551196.57708482,0,0,0,0,551196.57708482,551196.57708482,3501629
2019/04/02 00:00:00+00,2019,4,2,port2027,Shanghai (Yangshan),China,CHN,11,0,1,0,1,12,13,854050.042314391,0,0,0,0,854050.042314391,854050.042314391,622029.230994254,0,0,0,0,622029.230994254,622029.230994254,3501630
2019/04/03 00:00:00+00,2019,4,3,port2027,Shanghai (Yangshan),China,CHN,15,0,0,0,0,15,15,237872.169999113,0,0,0,0,237872.169999113,237872.169999113,383374.551392946,0,0,0,0,383374.551392946,383374.551392946,3501631
2019/04/04 00:00:00+00,2019,4,4,port2027,Shanghai (Yangshan),China,CHN,13,0,1,0,3,14,17,590634.224277495,0,0,0,17639.6153659225,590634.224277495,608273.839643418,680430.39487401,0,0,0,5286.26162856603,680430.39487401,685716.656502576,3501632
2019/04/05 00:00:00+00,2019,4,5,port2027,Shanghai (Yangshan),China,CHN,11,0,0,0,1,11,12,386865.009942921,0,0,0,0,386865.009942921,386865.009942921,489475.90254703,0,0,0,1721.21881515171,489475.90254703,491197.121362182,3501633
2019/04/06 00:00:00+00,2019,4,6,port2027,Shanghai (Yangshan),China,CHN,10,0,1,0,1,11,12,0,0,0,0,23046.5230463653,0,23046.5230463653,556301.185834468,0,0,0,0,556301.185834468,556301.185834468,3501634
2019/04/07 00:00:00+00,2019,4,7,port2027,Shanghai (Yangshan),China,CHN,14,1,0,0,0,15,15,355163.920296046,0,0,0,0,355163.920296046,355163.920296046,678159.889172744,0,0,0,0,678159.889172744,678159.889172744,3501635
2019/04/08 00:00:00+00,2019,4,8,port2027,Shanghai (Yangshan),China,CHN,8,0,1,0,0,9,9,409355.161564627,0,0,0,0,409355.161564627,409355.161564627,330484.905011618,0,0,0,0,330484.905011618,330484.905011618,3501636
2019/04/09 00:00:00+00,2019,4,9,port2027,Shanghai (Yangshan),China,CHN,7,0,0,0,0,7,7,33196.0931983254,0,0,0,0,33196.0931983254,33196.0931983254,256967.339195181,0,0,0,0,256967.339195181,256967.339195181,3501637
2019/04/10 00:00:00+00,2019,4,10,port2027,Shanghai (Yangshan),China,CHN,16,0,0,0,1,16,17,915172.613313592,0,0,0,76790.6250015,915172.613313592,991963.238315092,437845.156280101,0,0,0,0,437845.156280101,437845.156280101,3501638
2019/04/11 00:00:00+00,2019,4,11,port2027,Shanghai (Yangshan),China,CHN,10,0,1,0,1,11,12,595062.761301007,0,0,0,96036.0527940385,595062.761301007,691098.814095046,407381.873364785,0,0,0,0,407381.873364785,407381.873364785,3501639
2019/04/12 00:00:00+00,2019,4,12,port2027,Shanghai (Yangshan),China,CHN,11,1,1,0,0,13,13,180530.251439672,0,0,0,0,180530.251439672,180530.251439672,866537.790985923,0,0,0,0,866537.790985923,866537.790985923,3501640
2019/04/13 00:00:00+00,2019,4,13,port2027,Shanghai (Yangshan),China,CHN,15,1,1,0,1,17,18,909332.81402529,0,0,0,0,909332.81402529,909332.81402529,724050.396655768,0,0,0,0,724050.396655768,724050.396655768,3501641
2019/04/14 00:00:00+00,2019,4,14,port2027,Shanghai (Yangshan),China,CHN,8,1,0,0,0,9,9,34709.9812679693,0,0,0,0,34709.9812679693,34709.9812679693,457719.615494248,2926.89135928002,0,0,0,460646.506853528,460646.506853528,3501642
2019/04/15 00:00:00+00,2019,4,15,port2027,Shanghai (Yangshan),China,CHN,15,0,0,0,1,15,16,418061.505292607,0,0,0,0,418061.505292607,418061.505292607,837878.772386908,0,0,0,0,837878.772386908,837878.772386908,3501643
2019/04/16 00:00:00+00,2019,4,16,port2027,Shanghai (Yangshan),China,CHN,17,0,1,0,0,18,18,274242.483567014,0,0,0,0,274242.483567014,274242.483567014,526309.100719437,0,0,0,0,526309.100719437,526309.100719437,3501644
2019/04/17 00:00:00+00,2019,4,17,port2027,Shanghai (Yangshan),China,CHN,11,0,0,0,2,11,13,766311.889066366,0,0,0,10800.2141067052,766311.889066366,777112.103173071,596218.706121752,0,0,0,1315.45140021938,596218.706121752,597534.157521972,3501645
2019/04/18 00:00:00+00,2019,4,18,port2027,Shanghai (Yangshan),China,CHN,12,1,0,0,2,13,15,192370.365618995,0,0,0,0,192370.365618995,192370.365618995,611754.765623483,0,0,0,1537.17310830621,611754.765623483,613291.938731789,3501646
2019/04/19 00:00:00+00,2019,4,19,port2027,Shanghai (Yangshan),China,CHN,11,0,0,0,1,11,12,311041.613313542,0,0,0,3023.77615525489,311041.613313542,314065.389468797,555829.726011393,0,0,0,3749.08852025983,555829.726011393,559578.814531653,3501647
2019/04/20 00:00:00+00,2019,4,20,port2027,Shanghai (Yangshan),China,CHN,14,1,1,0,0,16,16,735217.949834471,0,0,0,0,735217.949834471,735217.949834471,539393.013066921,0,0,0,0,539393.013066921,539393.013066921,3501648
2019/04/21 00:00:00+00,2019,4,21,port2027,Shanghai (Yangshan),China,CHN,11,0,2,0,0,13,13,156396.305883922,0,0,0,0,156396.305883922,156396.305883922,455244.261654077,0,5109.64501456332,0,0,460353.906668641,460353.906668641,3501649
2019/04/22 00:00:00+00,2019,4,22,port2027,Shanghai (Yangshan),China,CHN,6,0,0,0,1,6,7,0,0,0,0,76790.6250015,0,76790.6250015,345448.029747892,0,0,0,0,345448.029747892,345448.029747892,3501650
2019/01/01 00:00:00+00,2019,1,1,port2027,Shanghai (Yangshan),China,CHN,15,1,1,0,1,17,18,627387.371104225,0,321.376435526603,0,3023.77615525489,627708.747539752,630732.523695007,583851.026746211,0,1550.92576148691,0,3749.08852025983,585401.952507698,589151.041027957,3501691
2019/01/02 00:00:00+00,2019,1,2,port2027,Shanghai (Yangshan),China,CHN,13,0,0,0,0,13,13,145451.954151521,0,0,0,0,145451.954151521,145451.954151521,444517.133390749,0,0,0,0,444517.133390749,444517.133390749,3501692
2019/01/03 00:00:00+00,2019,1,3,port2027,Shanghai (Yangshan),China,CHN,10,1,0,0,2,11,13,373157.93079128,0,0,0,0,373157.93079128,373157.93079128,383901.8438676,0,0,0,723.500297520925,383901.8438676,384625.344165121,3501693
2019/01/04 00:00:00+00,2019,1,4,port2027,Shanghai (Yangshan),China,CHN,14,0,0,0,0,14,14,430741.446051621,0,0,0,0,430741.446051621,430741.446051621,329250.556304085,0,0,0,0,329250.556304085,329250.556304085,3501694
2019/01/05 00:00:00+00,2019,1,5,port2027,Shanghai (Yangshan),China,CHN,13,0,0,0,1,13,14,208784.356913682,0,0,0,9768.89305524097,208784.356913682,218553.249968923,331818.315554841,0,0,0,0,331818.315554841,331818.315554841,3501695
2019/01/06 00:00:00+00,2019,1,6,port2027,Shanghai (Yangshan),China,CHN,13,1,0,0,1,14,15,311592.918666456,0,0,0,0,311592.918666456,311592.918666456,371881.933972107,0,0,0,0,371881.933972107,371881.933972107,3501696
2019/01/07 00:00:00+00,2019,1,7,port2027,Shanghai (Yangshan),China,CHN,13,0,2,0,1,15,16,158252.343198786,0,0,0,12814.8992273486,158252.343198786,171067.242426135,544402.674179047,0,5557.76783634014,0,0,549960.442015387,549960.442015387,3501697
