date,year,month,day,portid,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity,ObjectId
2019/01/01 00:00:00+00,2019,1,1,chokepoint1,Suez Canal,15,15,7,4,18,41,59,1018466.83904194,618654.148275396,111545.251379201,21900.7779695,1279775.78571984,1770567.01666603,3050342.80238588,1
2019/01/02 00:00:00+00,2019,1,2,chokepoint1,Suez Canal,24,4,5,6,10,39,49,1534924.70109356,227315.78134801,8288.38391800882,37934.2946452027,518306.163903728,1808463.16100478,2326769.32490851,2
2019/01/03 00:00:00+00,2019,1,3,chokepoint1,Suez Canal,13,14,9,2,23,38,61,555097.037369711,977689.832892816,39398.1705619768,10829.719197218,804257.611636548,1583014.76002172,2387272.37165827,3
2019/01/04 00:00:00+00,2019,1,4,chokepoint1,Suez Canal,17,11,2,2,14,32,46,1044184.80361627,430139.704883519,3673.3451096756,3430.30129797036,759384.538174523,1481428.15490744,2240812.69308196,4
2019/01/05 00:00:00+00,2019,1,5,chokepoint1,Suez Canal,20,9,1,1,13,31,44,1218925.13007918,777548.144430852,4587.5623389819,5567.0239627865,628481.051087614,2006627.8608118,2635108.91189941,5
2019/01/06 00:00:00+00,2019,1,6,chokepoint1,Suez Canal,13,12,6,0,18,31,49,832088.976292798,664305.086809622,27559.968382935,0,314955.571408739,1523954.03148536,1838909.60289409,6
2019/01/07 00:00:00+00,2019,1,7,chokepoint1,Suez Canal,9,14,6,2,16,31,47,434155.816419883,711501.456701983,33826.2538914999,5124.49928610754,894303.548231626,1184608.02629947,2078911.5745311,7
2019/01/08 00:00:00+00,2019,1,8,chokepoint1,Suez Canal,21,9,4,3,10,37,47,1418046.90189844,452795.28040687,8436.34443251325,16898.0444387855,868355.653597192,1896176.5711766,2764532.2247738,8
2019/01/09 00:00:00+00,2019,1,9,chokepoint1,Suez Canal,18,14,5,1,21,38,59,1303088.39242612,452256.352260644,21889.792527656,4875.75089578163,824016.074645014,1782110.2881102,2606126.36275522,9
2019/01/10 00:00:00+00,2019,1,10,chokepoint1,Suez Canal,14,9,5,5,16,33,49,748401.21871204,503278.161100103,34894.2182231998,26878.1371969029,961390.261484168,1313451.73523225,2274841.99671641,10
2019/01/11 00:00:00+00,2019,1,11,chokepoint1,Suez Canal,18,10,3,4,19,35,54,883967.101475164,528275.213398872,23318.8216451715,17440.0166920937,930693.727816118,1453001.1532113,2383694.88102742,11
2019/01/12 00:00:00+00,2019,1,12,chokepoint1,Suez Canal,13,11,6,2,13,32,45,893912.233873033,657561.53044147,27263.1563979062,2942.40398787857,859363.705884905,1581679.32470029,2441043.03058519,12
2019/01/13 00:00:00+00,2019,1,13,chokepoint1,Suez Canal,14,8,2,1,15,25,40,744842.356905655,304922.05028323,7518.474117568,0,947238.912516529,1057282.88130645,2004521.79382298,13
2019/01/14 00:00:00+00,2019,1,14,chokepoint1,Suez Canal,19,14,7,4,10,44,54,802733.244290557,290096.946116092,41096.2521218396,14874.3412728644,390131.061138605,1148800.78380135,1538931.84493996,14
2019/01/15 00:00:00+00,2019,1,15,chokepoint1,Suez Canal,17,7,4,1,19,29,48,1037320.54162454,245336.610072356,17309.7834180063,0,749687.762035242,1299966.9351149,2049654.69715015,15
2019/01/16 00:00:00+00,2019,1,16,chokepoint1,Suez Canal,20,4,2,3,13,29,42,1374657.24770005,269480.198392294,5322.180738279,9853.58787946191,1066528.40420011,1659313.21471009,2725841.6189102,16
2019/01/17 00:00:00+00,2019,1,17,chokepoint1,Suez Canal,10,9,3,2,15,24,39,608352.047019523,192306.546815193,8528.84326541744,13801.416386828,438824.3158053,822988.853486961,1261813.16929226,17
2019/01/18 00:00:00+00,2019,1,18,chokepoint1,Suez Canal,19,6,3,1,13,29,42,1029753.28346485,360190.433138252,17973.8083095168,6270.03963420973,705268.55931695,1414187.56454683,2119456.12386378,18
2019/01/19 00:00:00+00,2019,1,19,chokepoint1,Suez Canal,18,10,6,1,15,35,50,1032036.840746,636038.444692901,6815.21834946974,2186.51767376041,910228.914131266,1677077.02146213,2587305.9355934,19
2019/01/20 00:00:00+00,2019,1,20,chokepoint1,Suez Canal,13,13,14,2,12,42,54,584733.071836515,664293.561772796,86143.081316163,8850.42069449144,468224.429494504,1344020.13561997,1812244.56511447,20
2019/01/21 00:00:00+00,2019,1,21,chokepoint1,Suez Canal,13,9,4,2,22,28,50,750272.589297179,547699.821648259,9709.62207534602,4612.32416458743,1099518.47949746,1312294.35718537,2411812.83668283,21
2019/01/22 00:00:00+00,2019,1,22,chokepoint1,Suez Canal,13,17,5,3,22,38,60,801358.849570867,881005.323853433,41126.5053604603,14183.3114199355,976455.589826802,1737673.9902047,2714129.5800315,22
2019/01/23 00:00:00+00,2019,1,23,chokepoint1,Suez Canal,25,8,6,2,20,41,61,1627659.08765696,415434.314207139,21363.0994420598,3600.18209722982,669317.24072475,2068056.68340339,2737373.92412814,23
2019/01/24 00:00:00+00,2019,1,24,chokepoint1,Suez Canal,16,11,2,2,16,31,47,826662.021081506,732469.209240573,4047.527997462,0,672064.795011048,1563178.75831954,2235243.55333059,24
2019/01/25 00:00:00+00,2019,1,25,chokepoint1,Suez Canal,19,11,1,2,15,33,48,1049463.52966421,317355.728662255,1829.98123725057,9663.69433347047,571197.877492355,1378312.93389719,1949510.81138954,25
2019/01/26 00:00:00+00,2019,1,26,chokepoint1,Suez Canal,14,12,4,2,13,32,45,934706.620459614,553162.939395771,56752.3014758326,3733.47116828763,782587.240074953,1548355.33249951,2330942.57257446,26
2019/01/27 00:00:00+00,2019,1,27,chokepoint1,Suez Canal,13,9,6,5,19,33,52,661159.564589772,443222.636240628,25446.9073844764,12122.9105399764,734973.684752615,1141952.01875485,1876925.70350747,27
2019/01/28 00:00:00+00,2019,1,28,chokepoint1,Suez Canal,15,12,1,4,18,32,50,908502.297598165,606223.078728477,3139.54089606,8983.11042968427,1035275.37152655,1526848.02765239,2562123.39917893,28
2019/01/29 00:00:00+00,2019,1,29,chokepoint1,Suez Canal,13,7,7,3,16,30,46,804347.533172374,323897.355594947,38498.6372506152,11186.2277202509,600271.546152444,1177929.75373819,1778201.29989063,29
2019/01/30 00:00:00+00,2019,1,30,chokepoint1,Suez Canal,31,6,2,4,15,43,58,1837628.71425576,134450.355937943,6371.27034011468,11452.1090559652,589908.42404728,1989902.44958978,2579810.87363706,30
2019/01/31 00:00:00+00,2019,1,31,chokepoint1,Suez Canal,12,6,4,0,18,22,40,600004.863757811,460599.408233169,7232.49647884968,0,651995.667576433,1067836.76846983,1719832.43604626,31
2019/02/01 00:00:00+00,2019,2,1,chokepoint1,Suez Canal,20,12,5,0,11,37,48,1167244.53078512,472686.70491518,26335.2762385075,0,350200.803173862,1666266.51193881,2016467.31511267,32
2019/02/02 00:00:00+00,2019,2,2,chokepoint1,Suez Canal,22,4,5,1,13,32,45,1340067.72430408,110529.465697709,20824.7919121596,5596.80302618485,897669.366368056,1477018.78494013,2374688.15130819,33
2019/02/03 00:00:00+00,2019,2,3,chokepoint1,Suez Canal,13,18,5,0,12,36,48,788849.440129527,1035142.53639238,18620.8029044171,0,513576.162947028,1842612.77942633,2356188.94237335,34
2019/02/04 00:00:00+00,2019,2,4,chokepoint1,Suez Canal,15,2,5,3,17,25,42,705471.833293649,74252.520343663,20135.6893152902,18882.0637933429,1261018.49887642,818742.106745945,2079760.60562236,35
