iso_year,week,total_events,conflict_events,severe_events,avg_impact,avg_sentiment,total_media_mentions,middle_east_events,middle_east_impact,middle_east_media,asia_events,asia_impact,europe_events,europe_impact,ukraine_russia_events,ukraine_russia_impact,military_conflict_events,protest_events,trade_restriction_events,cooperation_breakdown_events,extreme_crisis_events,worst_event_impact,peak_media_attention,media_attention_volatility,egypt_events,egypt_impact,yemen_events,yemen_impact
2018,0,66868,66868,28034,-5.6999910268297755,-4.5539347322838406,356722,0,,0,0,,0,,14900,-5.9333131964022021,14834,5467,13455,0,18628,-10,295,5.6951224139922045,0,,0,
2018,1,74501,74501,31761,-5.9005583817666851,-4.1759278138038756,396438,0,,0,0,,0,,22611,-6.1407279642651815,19316,3674,14800,0,23345,-10,365,6.10672493987932,0,,0,
2018,2,70590,70590,27372,-5.6754781130471805,-3.7880869946652287,364143,0,,0,0,,0,,22458,-5.6060557485083242,15858,2459,14497,0,20182,-10,220,5.1633891311963591,0,,0,
2018,3,67256,67256,25037,-5.5565391935292068,-3.6316289350598261,354939,0,,0,0,,0,,24280,-5.5905436573311329,13924,2649,13854,0,17648,-10,400,6.0047318429625616,0,,0,
2018,4,71529,71529,29242,-5.7811279341246262,-3.9644156483926452,394482,0,,0,0,,0,,26964,-5.8459835336003536,17198,3275,15013,0,21012,-10,270,6.3075137750243728,0,,0,
2018,5,80198,80198,35339,-6.1036361369162693,-4.1059121752498564,423593,0,,0,0,,0,,27830,-5.937686419664356,24643,2295,13754,0,29403,-10,180,5.316969706545807,0,,0,
2018,6,83549,83549,34115,-5.9062382553950368,-4.0962562722287794,426337,0,,0,0,,0,,29993,-5.7042676624545718,23228,2354,15821,0,27233,-10,210,5.31942344854854,0,,0,
2018,7,81413,81413,31772,-5.7475661135199561,-4.2377025839576481,420962,0,,0,0,,0,,32035,-5.70172935851413,20212,2521,16801,0,24525,-10,312,5.6643219379574923,0,,0,
2018,8,72369,72369,27019,-5.6174162970332571,-3.9961592621443445,392041,0,,0,0,,0,,30775,-5.6036620633631165,15671,2824,14970,0,19459,-10,269,5.7237016294507157,0,,0,
2018,9,68680,68680,26390,-5.6404630168899192,-3.6629238120263663,350908,0,,0,0,,0,,27120,-5.6820390855457212,14610,3094,14580,0,18619,-10,200,5.1711702170748506,0,,0,
2018,10,86565,86565,31919,-5.4837798186334039,-4.0966961604737788,442683,0,,0,0,,0,,46054,-5.2827311417032172,15908,3191,18455,0,21161,-10,316,5.8046333618902137,0,,0,
2018,11,84115,84115,30161,-5.4473030969506055,-3.7307903447258459,431335,0,,0,0,,0,,39864,-5.1594897652016867,15967,3157,18490,0,20891,-10,758,6.1130553723555892,0,,0,
2018,12,111968,111968,36538,-5.462156295224311,-4.0263140422275514,556437,0,,0,0,,0,,56936,-5.0075031614444292,19624,4480,38186,0,24668,-10,320,5.7374645068982346,0,,0,
2018,13,86847,86847,32225,-5.5938984651168147,-4.2232037302452419,440954,0,,0,0,,0,,35256,-5.2079589289766286,18426,3418,20027,0,23239,-10,282,5.7398715207441011,0,,0,
2018,14,116134,116134,50922,-5.89279625260475,-4.6178337652304755,565694,0,,0,0,,0,,56153,-5.7225793813331469,31309,2835,15395,0,37618,-10,300,5.5751332571922205,0,,0,
2018,15,87026,87026,36208,-5.7693229609542005,-4.0225492894726074,439890,0,,0,0,,0,,37230,-5.5743943056674752,20898,2472,15539,0,25581,-10,270,5.1860680553228438,0,,0,
2018,16,73413,73413,30499,-5.8600615694767937,-3.8436401130989108,378922,0,,0,0,,0,,22552,-5.601068641362188,18074,2493,13791,0,22542,-10,413,5.3038857674146387,0,,0,
2018,17,72306,72306,27804,-5.6054545957458561,-3.5725514303973775,372482,0,,0,0,,0,,20192,-5.7842759508716348,15863,2805,14650,0,19667,-10,200,5.3367158101291334,0,,0,
2018,18,104832,104832,48365,-6.0821320232757845,-3.5929682812929924,519473,0,,0,0,,0,,21661,-5.8243709893356668,29937,3726,17081,0,35463,-10,284,5.7235351149967446,0,,0,
2018,19,108231,108231,47631,-5.8461586081364558,-4.09582479731037,530923,0,,0,0,,0,,23824,-5.5646671144320363,26048,7511,19618,0,33387,-10,240,5.1865171455381649,0,,0,
2018,20,81300,81300,32262,-5.7186469864698628,-3.5988665410329586,419450,0,,0,0,,0,,27007,-5.7131854704335936,18399,2992,16877,0,22823,-10,288,5.1678040387851185,0,,0,
2018,21,83679,83679,37694,-6.115894071391871,-4.1383290826905927,421596,0,,0,0,,0,,33188,-6.2869591418585058,25260,2655,14111,0,30054,-10,540,5.5903805660719854,0,,0,
2018,22,72421,72421,28847,-5.7828737520884852,-3.7841000999460124,371848,0,,0,0,,0,,24043,-5.5383645967641328,16758,3007,15148,0,20669,-10,430,5.6911563430302721,0,,0,
2018,23,64069,64069,24654,-5.6400630570166532,-3.4579314809327339,326138,0,,0,0,,0,,18550,-5.5301347708894868,14075,2274,13051,0,17446,-10,300,5.3172047790123864,0,,0,
2018,24,63540,63540,24432,-5.6990635819955928,-3.8244827462382527,335089,0,,0,0,,0,,17916,-5.6648861352980573,14457,2204,13126,0,17835,-10,252,5.1445743164272324,0,,0,
2018,25,60294,60294,23990,-5.8223737021925892,-3.7072067357828811,316019,0,,0,0,,0,,19933,-5.8909797822706089,14531,2174,12840,0,17787,-10,250,5.0929077540913719,0,,0,
2018,26,66743,66743,25584,-5.7191465771691448,-3.835695220155853,350811,0,,0,0,,0,,20839,-5.8586592446854464,14255,2280,15475,0,18371,-10,630,5.4964756917762054,0,,0,
2018,27,73694,73694,26737,-5.570868727440498,-3.8176421792921005,375526,0,,0,0,,0,,26481,-5.2295419357275028,16203,2106,16311,0,19612,-10,384,5.3920589977040745,0,,0,
2018,28,79948,79948,29138,-5.5167921649071872,-3.7000303248261561,396898,0,,0,0,,0,,39223,-5.0415419524258711,16943,2854,16528,0,21063,-10,480,5.7259897409565808,0,,0,
